obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"164.033212853"	"0.000000023"	""	"8.6268e+08"	AA	"(329179.2939406)"	"(390142.55757536)"	"2p"	"2P*"	"1/2"	"3d"	"2D"	"3/2"		"T7771"	""	
""	"164.034465424"	"0.000000024"	""	"3.5939e+08"	AA	"(329179.762313)"	"(390142.5604306)"	"2s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		"T7771"	""	
""	"164.03749939"	"0.00000003"	""	"3.3700e+07"	AA	"(329179.2939406)"	"(390140.964517)"	"2p"	"2P*"	"1/2"	"3s"	"2S"	"1/2"		"T7771"	""	
""	"164.039135215"	"0.000000025"	""	"3.5946e+08"	AA	"(329179.762313)"	"(390140.8249696)"	"2s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		"T7771"	""	
""	"164.047417525"	"0.000000023"	""	"1.0351e+09"	AA	"(329185.15110923)"	"(390143.13600712)"	"2p"	"2P*"	"3/2"	"3d"	"2D"	"5/2"		"T7771"	""	
""	"164.048974189"	"0.000000023"	""	"1.7252e+08"	AA	"(329185.15110923)"	"(390142.55757536)"	"2p"	"2P*"	"3/2"	"3d"	"2D"	"3/2"		"T7771"	""	
""	"164.05326155"	"0.00000003"	""	"6.7430e+07"	AA	"(329185.15110923)"	"(390140.964517)"	"2p"	"2P*"	"3/2"	"3s"	"2S"	"1/2"		"T7771"	""	
""	"273.3184772"	"0.0000021"	""	"2.5056e+07"	AA	"(390140.8249696)"	"(426717.352717)"	"3p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"273.3195173"	"0.0000021"	""	"1.5291e+07"	AA	"(390140.964517)"	"(426717.3530854)"	"3s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"273.3199647"	"0.0000021"	""	"2.7070e+06"	AA	"(390140.8249696)"	"(426717.1536654)"	"3p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T7771"	""	
""	"273.3211384"	"0.0000021"	""	"1.5293e+07"	AA	"(390140.964517)"	"(426717.1361554)"	"3s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
""	"273.3308860"	"0.0000021"	""	"3.2071e+07"	AA	"(390142.55757536)"	"(426717.424890)"	"3d"	"2D"	"3/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"273.3309064"	"0.0000021"	""	"3.0065e+07"	AA	"(390142.5604306)"	"(426717.425022)"	"3p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"273.3314227"	"0.0000021"	""	"1.2527e+05"	AA	"(390142.55757536)"	"(426717.3530854)"	"3d"	"2D"	"3/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"273.3314467"	"0.0000021"	""	"5.0109e+06"	AA	"(390142.5604306)"	"(426717.352717)"	"3p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"273.3329344"	"0.0000021"	""	"5.4160e+06"	AA	"(390142.5604306)"	"(426717.1536654)"	"3p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	""	
""	"273.3330439"	"0.0000021"	""	"1.2535e+06"	AA	"(390142.55757536)"	"(426717.1361554)"	"3d"	"2D"	"3/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
""	"273.3349389"	"0.0000021"	""	"3.4360e+07"	AA	"(390143.13600712)"	"(426717.461041)"	"3d"	"2D"	"5/2"	"6f"	"2F*"	"7/2"		"T7771"	""	
""	"273.3352090"	"0.0000021"	""	"2.2905e+06"	AA	"(390143.13600712)"	"(426717.424890)"	"3d"	"2D"	"5/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"273.3357457"	"0.0000021"	""	"1.1277e+06"	AA	"(390143.13600712)"	"(426717.3530854)"	"3d"	"2D"	"5/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"320.2946921"	"0.0000020"	""	"4.5253e+07"	AA	"(390140.8249696)"	"(421353.053159)"	"3p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	""	
""	"320.2961177"	"0.0000020"	""	"2.6220e+07"	AA	"(390140.964517)"	"(421353.05378699)"	"3s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
